date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:02	913/913	---MCZ	200	added ('OK')	text/plain	date:Mon,%2013%20Apr%202026%2014:31:01%20GMT	https://salonsafari.com/robots.txt		(from )
20:01:02	88535/88535	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Apr%202026%2014:31:02%20GMT	https://salonsafari.com/	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/index.html	(from )
20:01:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:02%20GMT	http://salonsafari.com/cdn/shop/files/logo.jpg?height=628&pad_color=ffffff&v=1720647268&width=1200	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/files/logo.06302.delayed	(from https://salonsafari.com/)
20:01:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:03%20GMT	http://salonsafari.com/cdn/shop/t/1/assets/constants.js?v=132983761750457495441720632166	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/constants8160.js	(from https://salonsafari.com/)
20:01:04	33004/33004	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202026%2014:31:03%20GMT	https://salonsafari.com/cdn/shop/files/logo.jpg?height=628&pad_color=ffffff&v=1720647268&width=1200	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/files/logo6302.jpg	(from https://salonsafari.com/)
20:01:04	258/258	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Mar%202026%2009:05:14%20GMT	https://salonsafari.com/cdn/shop/t/1/assets/constants.js?v=132983761750457495441720632166	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/constants8160.js	(from https://salonsafari.com/)
20:01:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:04%20GMT	http://salonsafari.com/cdn/shop/t/1/assets/pubsub.js?v=158357773527763999511720632167	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/pubsub7ff3.js	(from https://salonsafari.com/)
20:01:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:05%20GMT	http://salonsafari.com/cdn/shop/t/1/assets/global.js?v=88558128918567037191720632166	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/global4360.js	(from https://salonsafari.com/)
20:01:05	476/476	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2010%20Mar%202026%2014:52:33%20GMT	https://salonsafari.com/cdn/shop/t/1/assets/pubsub.js?v=158357773527763999511720632167	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/pubsub7ff3.js	(from https://salonsafari.com/)
20:01:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:05%20GMT	http://salonsafari.com/cdn/shop/t/1/assets/animations.js?v=88693664871331136111720632165	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/animations1a96.js	(from https://salonsafari.com/)
20:01:06	32539/32539	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2007%20Apr%202026%2007:01:26%20GMT	https://salonsafari.com/cdn/shop/t/1/assets/global.js?v=88558128918567037191720632166	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/global4360.js	(from https://salonsafari.com/)
